id,nome,latitude,longitude,tipo
2704,"Neguinho da Sucata",-22.25476793,-47.82254219,comercio
2705,"Toninho Reciclagem",-21.4730713,-49.2158374,comercio
2706,type,-16.82674498,-49.22919989,cooperativa
2707,type,-24.9545093,-53.4529111,pev
2708,type,-26.8707355,-49.093121,cooperativa
2709,"Irmãos Sucatas",-23.4211191,-49.0827469,comercio
2710,"Ferro Velho Monte Cristo",-24.2403708,-50.2364053,comercio
2711,type,-22.1887287,-47.3857531,comercio
2712,"Depósito de Sucatas Bom Jesus",-21.8517737,-46.8969677,comercio
2713,"PEV - NACIONAL S.ROSA-EXPEDICIONÁRIO",-27.8664004,-54.4727484,pev
2714,type,-23.5159811,-46.1695333,pev
2715,"Cooperativa de Recicladores de Itupeva - CRI",-23.157935,-47.0568656,cooperativa
2716,"PEV - MERCADORAMA UMUARAMA-LONDRINA",-23.7613674,-53.2955894,pev
2717,type,-22.8371947,-43.3398001,comercio
2718,"Associação de Buritis Catarecicla",-15.6203407,-46.415258,cooperativa
2719,"Associação de Catadores de Pelotas",-31.7411469,-52.3488626,cooperativa
2720,"Carambeí Ambiental",-24.988039,-50.118007,comercio
2721,COOPCLIN,-22.3638321,-41.7946452,cooperativa
2722,Cooperecicle,-23.0815846,-45.7184227,cooperativa
2723,"A.R.V - Associação dos Recicladores de Viamão",-30.0828264,-51.0094201,associacao
2724,"Associação Recicladores Interbairros Caxias do Sul",-29.1149013,-51.1747167,cooperativa
2725,"RECILAPA - Assoc. Catadores da Lapa",-25.76916637,-49.72236812,cooperativa
2726,type,-21.1580578,-47.7946081,comercio
2727,"Du Norte Reciclagem",-22.4315519,-43.4228077,comercio
2728,"Bueno - Indústria e Comércio de Papéis e Sucata Ltda.",-22.2953468,-46.9709693,comercio
2729,type,-19.5204472,-40.6542049,pev
2730,"CORAL - Cooperativa de Material Reciclável de Alagoinhas",-12.1202708,-38.4098211,cooperativa
2731,"Sergião Ferro Velho",-22.2602626,-49.9326166,comercio
2732,type,-15.75979271,-47.87399769,cooperativa
2733,"Associação Cultural e Social Boca de Lata",-13.7324582,-39.1504801,pev
2734,type,-23.163771,-46.941863,comercio
2735,"Reciclagem do Roberto",-22.6545536,-43.0378932,comercio
2736,type,-29.1678244,-51.179383,cooperativa
2737,"Depósito de Reciclagem Santa Cruz",-21.8203013,-47.2568215,comercio
2738,"Reciclagem Arco Iris ",-17.7795559,-48.7681359,comercio
2739,"Associação CEEU - Centro de Educação e Evangelização Universal",-3.8718083,-38.6654318,cooperativa
2740,"Coomub (Núcleo Nilópolis)",-22.8015794,-43.4163771,associacao
2741,type,-22.923715,-47.078349,pev
2742,"Rede Solidária Ambiental",-12.30654446,-38.95305634,cooperativa
2743,"Grupo Baruque - Com. de Aparas e Sucatas Ltda",-20.86635091,-49.30805683,comercio
2744,type,-22.8427433,-43.3618329,comercio
2745,"Associação de Catadores de Material Reciclável de Rio Quente  ",-17.77958374,-48.76487732,associacao
2746,"Cooperativa Global Reciclagem",-21.1448994,-51.1039856,cooperativa
2747,type,-22.9557148,-47.1317724,cooperativa
2748,"Reciclagem NMJW LTDA",-27.1736924,-48.8755232,comercio
2749,"COOPMARC ",-12.69698916,-38.2878685,cooperativa
2750,"Associação Reciclando Para a Vida",-22.06943817,-51.46635532,cooperativa
2751,"Carrefour Caçapava",-23.10364489,-45.70957839,pev
2752,type,-16.47253039,-54.61649179,pev
2753,type,-22.73653752,-47.56071568,comercio
2754,type,-15.7664745,-47.8946333,pev
2755,type,-25.6222857,-49.3642313,comercio
2756,"CENTRO DE EDUCAÇÃO PROFISSIONAL DE ALAGOINHAS",-12.1202708,-38.4098211,pev
2757,"Reciclagem do Márcio",-16.05204111,-48.05196762,comercio
2758,"Silvio Reciclagem",-26.275776,-48.609325,comercio
2759,"Usina de Triagem da Prefeitura de Ubatuba",-23.4338613,-45.0857105,cooperativa
2760,"PEV Belém Novo",-30.210844,-51.18949,pev
2761,"UTC Dionísio",-19.8424484,-42.777139,cooperativa
2762,"Associação de Recicladores Nossa Senhora do Rocio",-25.44249868,-50.00206522,associacao
2763,"Cooperativa Reviver",-23.0150165,-46.8174507,cooperativa
2764,"ASCAPEL associação de catadores de Pedro leopoldo",-19.6201095,-44.0437678,cooperativa
2765,"Associação de Cândido de Abreu",-24.542751,-51.37756348,cooperativa
2766,"Reciclagem Luso Brasileiro ",-21.7642655,-43.3346686,comercio
2767,"PEV - Posto Três Garças - Guaratinguetá",-22.79386769,-45.16449451,pev
2768,"PEV IBITIPOCA",-21.8481435,-43.8075982,pev
2769,"Cooreg - Cooperativa de Trabalho dos Recicladores de Guará",-20.4274785,-47.8295336,cooperativa
2770,type,-20.51555,-47.406754,comercio
2771,"ACMRO - Recicla Ourinhos",-22.95509765,-49.84458447,cooperativa
2772,"UTC de Eugenópolis",-21.0978104,-42.1853868,triagem
2773,"ASMATOZ - Associação dos Catadores de Materiais Recicláveis de Matozinhos",-19.572445,-44.0562505,cooperativa
2774,"AG da Silva Sucatas - ME",-20.5467738,-47.4561227,comercio
2775,"LLM Reciclagem",-3.01015566,-59.95305777,comercio
2776,type,-22.7329168,-47.3794235,cooperativa
2777,type,-23.4201551,-51.9072995,pev
2778,"Comércio Aparas Voidello",-23.46663676,-51.9133991,comercio
2779,type,-22.1575722,-49.9551221,comercio
2780,type,-23.983637,-46.2459944,pev
2781,"CIGRES - Consórcio Intermunicipal de Gestão de Resíduos Sólidos",-27.78230633,-54.25857568,triagem
2782,"Associação Reciclar",-18.7169439,-39.8777905,cooperativa
2783,"Cooprec - Cooperativa de Reciclagem de Conchas",-23.01333303,-48.00591946,cooperativa
2784,type,-26.2465877,-48.8047798,comercio
2785,Recimart,-24.1453587,-49.8188594,comercio
2786,type,-3.8233714,-38.5366711,comercio
2787,"COOPERMAR-Balneário Camboriú Ambiental",-26.991072,-48.6352084,cooperativa
2788,type,-23.5286924,-46.2209981,cooperativa
2789,"Ribopel - Comércio e triagens de sucatas",-29.7474477,-52.4415643,comercio
2790,"Cooperativa de Reciclagem Futura",-23.2530685,-45.9187323,cooperativa
2791,Coocavip,-1.30241144,-48.45962048,cooperativa
2792,type,-22.7899108,-47.2778177,comercio
2793,"Reciclagem Granadense",-20.5314691,-49.310848,comercio
2794,type,-22.9057395,-43.0854605,comercio
2795,"Igreja Batista Pedra Viva",-19.3929801,-40.0458042,pev
2796,"Cooperativa Mundo Novo",-23.9946009,-46.256867,cooperativa
2797,"Coopercolina - Cooperativa de Reciclagem do Municipio de Colina",-20.7162178,-48.5456924,cooperativa
2798,type,-22.8605411,-42.0539834,pev
2799,"ECOELCE - Associação Anjos da luz - Jereissati I",-3.8715204,-38.6194322,pev
2800,"Cooperativa de Materiais Reciclaveis de Guarulhos",-23.4428536,-46.5010117,cooperativa
2801,"Muffato Rep. Argentina",-25.5363819,-54.5389124,pev
2802,"JAS Reciclagem ",-1.3613198,-48.2471049,comercio
2803,"RB RECICLAGEM ",-22.8376969,-42.3466492,comercio
2804,"Suzano Shopping",-23.5422959,-46.3174297,pev
2805,"Unidade de Valorização de Recicláveis",-25.36783,-49.4476,cooperativa
2806,"ACAT ",-20.7545902,-42.8825242,cooperativa
2807,"AREMA - Associação de Recicladores de Materiais Sólidos de Torres",-29.36184139,-49.77727175,cooperativa
2808,"ASCARPI Associação de Catadores e Recicladores de Pirapora ",-17.3576676,-44.9206292,cooperativa
2809,"UTCL - Usina de triagem compostagem e lixo de Piranga",-20.6861549,-43.3005231,cooperativa
2810,type,-23.20062553,-45.88032246,pev
2811,type,-22.5046388,-43.1823294,pev
2812,CoopMar,-23.464444,-52.041944,cooperativa
2813,type,-29.6481756,-51.0130135,comercio
